constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
204.0,MOHANIA,6.0,missing,Asankhya Samaj Party,843.0,0.0,843.0,0.44,0.004547044421126268,0.0003497726477789437
118.0,CHAPRA,5.0,missing,Bhartiya Lok Chetna Party,333.0,4.0,337.0,0.18,0.0038474991255683807,0.005246589716684155
155.0,KAHALGAON,8.0,missing,Independent,760.0,2.0,762.0,0.3,0.004896817068905212,0.3235396991955229
229.0,BODH GAYA,3.0,missing,Vikas Vanchit Insan Party,3674.0,1.0,3675.0,1.59,0.0038474991255683807,0.002448408534452606
242.0,JHAJHA,4.0,missing,Bahujan Samaj Party,2005.0,2.0,2007.0,0.82,0.003497726477789437,0.06330884924798881
107.0,DARAULI,4.0,missing,Jan Suraaj Party,4593.0,37.0,4630.0,2.64,0.002448408534452606,0.0832458901713886
194.0,ARRAH,12.0,missing,Independent,1183.0,0.0,1183.0,0.64,0.004896817068905212,0.3235396991955229
201.0,DUMRAON,3.0,missing,Rashtriya Lok Janshakti Party,1763.0,31.0,1794.0,0.91,0.005946135012242042,0.012591815320041973
41.0,NIRMALI,4.0,missing,Rashtriya Janata Dal,81001.0,593.0,81594.0,36.56,0.0031479538300104933,0.050017488632388946
117.0,MARHAURA,2.0,missing,Jan Suraaj Party,58016.0,174.0,58190.0,32.42,0.003497726477789437,0.0832458901713886
103.0,BHOREY,5.0,missing,Jan Suraaj Party,8536.0,66.0,8602.0,4.04,0.002098635886673662,0.0832458901713886
61.0,DHAMDAHA,2.0,missing,Rashtriya Janata Dal,83472.0,119.0,83591.0,34.53,0.004197271773347324,0.050017488632388946
16.0,KALYANPUR,1.0,missing,Rashtriya Janata Dal,73030.0,459.0,73489.0,39.46,0.007345225603357817,0.050017488632388946
220.0,OBRA,14.0,missing,Independent,829.0,0.0,829.0,0.41,0.00664568030779993,0.3235396991955229
123.0,HAJIPUR,9.0,missing,Bhartiya Lok Chetna Party,823.0,8.0,831.0,0.37,0.004547044421126268,0.005246589716684155
40.0,LAUKAHA,11.0,missing,Independent,1896.0,3.0,1899.0,0.82,0.004896817068905212,0.3235396991955229
204.0,MOHANIA,7.0,missing,Rashtriya Jansambhavna Party,404.0,2.0,406.0,0.21,0.004547044421126268,0.017488632388947184
60.0,RUPAULI,16.0,missing,None of the Above,5862.0,0.0,5862.0,2.6,0.005596362364463099,0.08499475341028331
119.0,GARKHA,6.0,missing,Republican Party of India (A),1424.0,4.0,1428.0,0.7,0.004896817068905212,0.001049317943336831
24.0,BATHNAHA,10.0,missing,Independent,1972.0,0.0,1972.0,0.92,0.004197271773347324,0.3235396991955229
120.0,AMNOUR,2.0,missing,Bahujan Samaj Party,5675.0,20.0,5695.0,3.36,0.004547044421126268,0.06330884924798881
233.0,ATRI,3.0,missing,Janshakti Janta Dal,1013.0,13.0,1026.0,0.52,0.004547044421126268,0.015739769150052464
128.0,RAGHOPUR,14.0,missing,None of the Above,4025.0,8.0,4033.0,1.69,0.004896817068905212,0.08499475341028331
175.0,HILSA,7.0,missing,Indian National Socialistic Action Forces,662.0,1.0,663.0,0.34,0.0038474991255683807,0.002448408534452606
214.0,ARWAL,16.0,missing,None of the Above,1442.0,9.0,1451.0,0.85,0.005596362364463099,0.08499475341028331
222.0,KUTUMBA,5.0,missing,Rashtrawadi Janlok Party (Satya),1019.0,0.0,1019.0,0.59,0.004197271773347324,0.002448408534452606
95.0,KANTI,7.0,missing,Socialist Unity Centre Of India (COMMUNIST),1194.0,3.0,1197.0,0.51,0.004896817068905212,0.012591815320041973
33.0,KHAJAULI,5.0,missing,Jan Suraaj Party,4584.0,53.0,4637.0,2.26,0.0031479538300104933,0.0832458901713886
77.0,MAHISHI,14.0,missing,Independent,3142.0,0.0,3142.0,1.55,0.005246589716684155,0.3235396991955229
143.0,TEGHRA,1.0,missing,Bahujan Samaj Party,1667.0,8.0,1675.0,0.79,0.004896817068905212,0.06330884924798881
26.0,SURSAND,3.0,missing,Janata Dal (United),103962.0,195.0,104157.0,50.04,0.004197271773347324,0.035327037425673315
228.0,BARACHATTI,12.0,missing,None of the Above,4322.0,7.0,4329.0,1.9,0.004197271773347324,0.08499475341028331
194.0,ARRAH,6.0,missing,Socialist Unity Centre Of India (COMMUNIST),179.0,1.0,180.0,0.1,0.004896817068905212,0.012591815320041973
68.0,BARARI,13.0,missing,Independent,4961.0,1.0,4962.0,2.17,0.005246589716684155,0.3235396991955229
2.0,RAMNAGAR,9.0,missing,None of the Above,2178.0,6.0,2184.0,1.03,0.0031479538300104933,0.08499475341028331
175.0,HILSA,8.0,missing,Sanyukt Kisan Vikas Party,935.0,0.0,935.0,0.48,0.0038474991255683807,0.001049317943336831
163.0,BELHAR,14.0,missing,Independent,4450.0,1.0,4451.0,1.95,0.005596362364463099,0.3235396991955229
212.0,DEHRI,7.0,missing,Independent,570.0,0.0,570.0,0.3,0.0038474991255683807,0.3235396991955229
225.0,GURUA,13.0,missing,Independent,1140.0,0.0,1140.0,0.56,0.004896817068905212,0.3235396991955229
16.0,KALYANPUR,6.0,missing,Jan Suraaj Party,5158.0,48.0,5206.0,2.8,0.007345225603357817,0.0832458901713886
15.0,KESARIA,9.0,missing,Independent,2767.0,15.0,2782.0,1.57,0.0038474991255683807,0.3235396991955229
108.0,RAGHUNATHPUR,3.0,missing,Suheldev Bharatiya Samaj Party,2195.0,0.0,2195.0,1.21,0.0027981811822315496,0.00944386149003148
